cost,Area,type,no.of bed,Bathrooms,Location
"2,920,000 AED","2,546 sqft",Apartment,3,5,"Hartland Greens, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
"4,400,000 AED","2,005 sqft",Apartment,3,4,"The 8, The Crescent, Palm Jumeirah, Dubai"
"2,300,000 AED","1,610 sqft",Apartment,2,3,"Al Bateen Residence, The Walk, Jumeirah Beach Residence, Dubai"
"4,950,000 AED","53,001 sqft",Villa,6,5,"Meadows 8, Meadows, Dubai"
"850,000 AED",748 sqft,Apartment,1,2,"Mosela Waterside Residences, Mosela, The Views, Dubai"
"1,490,000 AED","1,205 sqft",Apartment,1,2,"Sadaf 7, Sadaf, Jumeirah Beach Residence, Dubai"
"2,400,000 AED","1,800 sqft",Duplex,2,2,"Sadaf 6, Sadaf, Jumeirah Beach Residence, Dubai"
"1,649,950 AED","1,878 sqft",Villa,3,4,"Casa Viva, Serena, Dubai"
"3,500,000 AED","4,032 sqft",Penthouse,3,4,"The Torch, Dubai Marina, Dubai"
"6,000,000 AED","1,995 sqft",Apartment,3,,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"1,600,000 AED","2,455 sqft",Apartment,2,4,"Emirates Crown, Dubai Marina, Dubai"
"5,500,000 AED","5,221 sqft",Villa,5,5,"Millennium Estates, Meydan Gated Community, Meydan, Dubai"
"3,200,000 AED","1,550 sqft",Apartment,2,3,"The Residences 1, The Residences, Downtown Dubai, Dubai"
"1,800,000 AED","1,325 sqft",Apartment,2,2,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai"
"28,850,000 AED","10,617 sqft",Villa,5,7,"Umm Suqeim 2 Villas, Umm Suqeim 2, Umm Suqeim, Dubai"
"1,175,000 AED","1,630 sqft",Apartment,2,3,"Al Nada 2, Al Muneera, Al Raha Beach, Abu Dhabi"
"2,249,999 AED","2,181 sqft",Apartment,3,3,"Al Haseer, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,600,000 AED","2,455 sqft",Apartment,2,4,"Emirates Crown, Dubai Marina, Dubai"
"10,000,000 AED","8,470 sqft",Villa,5,6,"Wildflower, Earth, Jumeirah Golf Estates, Dubai"
"450,000 AED",813 sqft,Apartment,1,2,"Venetian, Canal Residence, Dubai Sports City, Dubai"
"1,650,000 AED","1,364 sqft",Apartment,2,2,"Tanaro, The Views, Dubai"
"19,995,000 AED","22,608 sqft",Villa,7,7+,"Sector P, Emirates Hills, Dubai"
"5,500,000 AED","5,221 sqft",Villa,5,5,"Millennium Estates, Meydan Gated Community, Meydan, Dubai"
"2,900,000 AED","2,603 sqft",Apartment,3,4,"Balqis Residences, Kingdom of Sheba, Palm Jumeirah, Dubai"
"4,660,000 AED","2,183 sqft",Apartment,3,3,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"220,000 AED",380 sqft,Apartment,Studio,1,"Lakeside Tower C, Lakeside Residence, Dubai Production City (IMPZ), Dubai"
"335,000 AED",518 sqft,Apartment,Studio,1,"Resortz by Danube, Arjan, Dubai"
"2,300,000 AED","3,750 sqft",Villa,5,6,"Mediterranean Style, Al Reef Villas, Al Reef, Abu Dhabi"
"26,000,000 AED","9,567 sqft",Villa,5,6,"Signature Villas Frond I, Signature Villas, Palm Jumeirah, Dubai"
"2,199,990 AED","5,398 sqft",Villa,4,5,"Circle Villas, Jumeirah Village Circle, Dubai"
"15,250,000 AED","6,358 sqft",Penthouse,4,5,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"3,600,000 AED","4,650 sqft",Villa,5,5,"Lila, Arabian Ranches 2, Dubai"
"3,600,000 AED","5,100 sqft",Villa,6,6,"The Aldea, The Villa, Dubai"
"440,000 AED",428 sqft,Apartment,Studio,1,"Lake View Tower, Lake Almas West, Jumeirah Lake Towers, Dubai"
"4,592,000 AED","2,406 sqft",Apartment,3,5,"Building 13B, City Walk, Dubai"
"634,113 AED",388 sqft,Apartment,Studio,1,"Rigel, Jumeirah Village Circle, Dubai"
"3,270,000 AED","3,675 sqft",Townhouse,4,5,"Redwood Park, Fire, Jumeirah Golf Estates, Dubai"
"670,000 AED",886 sqft,Apartment,1,2,"Park Central, Business Bay, Dubai"
"3,600,000 AED","4,400 sqft",Villa,4,5,"The Aldea, The Villa, Dubai"
"520,000 AED",600 sqft,Apartment,1,2,"Marina View Tower A, Marina View, Dubai Marina, Dubai"
"2,398,000 AED","3,815 sqft",Villa,4,5,"Nad Al Sheba 3, Nadd Al Sheba, Dubai"
"4,200,000 AED","6,900 sqft",Townhouse,4,5,"Al Muneera Townhouses-Mainland, Al Muneera, Al Raha Beach, Abu Dhabi"
"5,600,000 AED","6,044 sqft",Villa,6,7,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"8,500,000 AED","6,200 sqft",Penthouse,4,5,"Elite Residence, Dubai Marina, Dubai"
"9,500,000 AED","6,200 sqft",Penthouse,5,7+,"Princess Tower, Dubai Marina, Dubai"
"770,000 AED",575 sqft,Apartment,Studio,1,"Ansam, Yas Island, Abu Dhabi"
"17,999,999 AED","16,717 sqft",Villa,5,7+,"Sector P, Emirates Hills, Dubai"
"1,200,000 AED","1,510 sqft",Apartment,3,3,"Goldcrest Views 2, Lake Almas West, Jumeirah Lake Towers, Dubai"
"2,799,000 AED","2,900 sqft",Apartment,3,4,"Ansam, Yas Island, Abu Dhabi"
"28,850,000 AED","10,617 sqft",Villa,5,7,"Umm Suqeim 2 Villas, Umm Suqeim 2, Umm Suqeim, Dubai"
"3,200,000 AED","1,550 sqft",Apartment,2,3,"The Residences 1, The Residences, Downtown Dubai, Dubai"
"865,000 AED","1,494 sqft",Apartment,2,3,"Shakespeare Circus 3, Shakespeare Circus, Motor City, Dubai"
"1,800,000 AED","1,325 sqft",Apartment,2,2,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai"
"2,100,000 AED","2,996 sqft",Apartment,2,2,"Bahar 2, Bahar, Jumeirah Beach Residence, Dubai"
"2,199,990 AED","5,398 sqft",Villa,4,5,"Circle Villas, Jumeirah Village Circle, Dubai"
"15,250,000 AED","6,358 sqft",Penthouse,4,5,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"3,100,000 AED","1,750 sqft",Apartment,3,4,"Damac Heights, Dubai Marina, Dubai"
"360,000 AED",468 sqft,Apartment,Studio,1,"Ghalia, District 18, Jumeirah Village Circle, Dubai"
"1,750,000 AED",882 sqft,Apartment,1,2,"The Address The BLVD, Downtown Dubai, Dubai"
"3,600,000 AED","4,650 sqft",Villa,5,5,"Lila, Arabian Ranches 2, Dubai"
"3,600,000 AED","5,100 sqft",Villa,6,6,"The Aldea, The Villa, Dubai"
"440,000 AED",428 sqft,Apartment,Studio,1,"Lake View Tower, Lake Almas West, Jumeirah Lake Towers, Dubai"
"4,592,000 AED","2,406 sqft",Apartment,3,5,"Building 13B, City Walk, Dubai"
"634,113 AED",388 sqft,Apartment,Studio,1,"Rigel, Jumeirah Village Circle, Dubai"
"3,270,000 AED","3,675 sqft",Townhouse,4,5,"Redwood Park, Fire, Jumeirah Golf Estates, Dubai"
"1,680,000 AED","2,043 sqft",Villa,3,4,"Rochester, DAMAC Hills (Akoya by DAMAC), Dubai"
"490,000 AED",638 sqft,Apartment,1,2,"Concorde Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,100,000 AED","1,184 sqft",Apartment,1,2,"Jash Hamad, Shoreline Apartments, Palm Jumeirah, Dubai"
"695,000 AED",959 sqft,Apartment,1,2,"Le Grand Chateau, Jumeirah Village Circle, Dubai"
"630,000 AED","1,068 sqft",Apartment,2,3,"Zahra Breeze Apartments 3B, Zahra Breeze Apartments, Town Square, Dubai"
"450,000 AED",768 sqft,Apartment,1,2,"Elite Sports Residence 10, Elite Sports Residence, Dubai Sports City, Dubai"
"580,000 AED",700 sqft,Apartment,1,1,"Starz by Danube, Al Furjan, Dubai"
"1,675,000 AED","2,675 sqft",Townhouse,3,4,"Quortaj, North Village, Al Furjan, Dubai"
"1,475,000 AED","1,506 sqft",Apartment,2,3,"Ocean Terrace, Marina Square, Al Reem Island, Abu Dhabi"
"4,300,000 AED","6,697 sqft",Townhouse,4,5,"Al Muneera Townhouses-Mainland, Al Muneera, Al Raha Beach, Abu Dhabi"
"2,000,000 AED","2,203 sqft",Villa,3,3,"La Quinta, Villanova, Dubai Land, Dubai"
"1,950,000 AED","2,203 sqft",Villa,3,3,"La Quinta, Villanova, Dubai Land, Dubai"
"3,640,000 AED","2,079 sqft",Apartment,3,4,"St. Regis, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"730,000 AED","1,028 sqft",Apartment,1,2,"Madina Tower, Lake Elucio, Jumeirah Lake Towers, Dubai"
"2,400,000 AED","2,500 sqft",Villa,5,5,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"1,499,000 AED","2,042 sqft",Apartment,2,3,"Marina Residences 4, Marina Residences, Palm Jumeirah, Dubai"
"1,150,000 AED","1,201 sqft",Apartment,2,2,"Princess Tower, Dubai Marina, Dubai"
"1,350,000 AED","1,544 sqft",Townhouse,3,3,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"3,300,000 AED","3,379 sqft",Duplex,3,4,"The Cedars, Yas Acres, Yas Island, Abu Dhabi"
"649,411 AED",690 sqft,Apartment,1,1,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"710,000 AED",816 sqft,Apartment,1,2,"Loreto 1 B, Loreto, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,700,000 AED","2,043 sqft",Townhouse,3,4,"Pelham, Akoya Park, DAMAC Hills (Akoya by DAMAC), Dubai"
"790,000 AED",700 sqft,Apartment,1,2,"Blakely Tower, Park Island, Dubai Marina, Dubai"
"4,500,000 AED","2,080 sqft",Apartment,3,3,"Apartment Building 2, Bluewaters Residences, Bluewaters, Dubai"
"1,250,000 AED","1,076 sqft",Apartment,1,2,"Shemara Tower, Marina Promenade, Dubai Marina, Dubai"
"1,900,000 AED","1,372 sqft",Apartment,2,2,"The Fairways East, The Fairways, The Views, Dubai"
"2,000,000 AED","1,443 sqft",Apartment,2,3,"Paloma Tower, Marina Promenade, Dubai Marina, Dubai"
"1,310,000 AED","2,236 sqft",Townhouse,3,3,"Mira Oasis 2, Mira Oasis, Reem, Dubai"
"725,888 AED",700 sqft,Apartment,1,2,"Rawda Apartments, Town Square, Dubai"
"3,050,000 AED","1,806 sqft",Apartment,3,4,"5242, Dubai Marina, Dubai"
"1,795,000 AED","2,023 sqft",Villa,2,3,"Springs 10, The Springs, Dubai"
"2,450,000 AED","3,831 sqft",Villa,4,4,"Cedre Villas, Dubai Silicon Oasis, Dubai"
"550,000 AED","1,064 sqft",Apartment,2,2,"Global Golf Residences 2, Dubai Sports City, Dubai"
"2,600,000 AED","1,435 sqft",Apartment,2,3,"The Residences 3, The Residences, Downtown Dubai, Dubai"
"3,100,000 AED","3,809 sqft",Villa,4,4,"Mirador, Arabian Ranches, Dubai"
"2,900,000 AED","1,625 sqft",Apartment,2,3,"Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi"
"575,000 AED",759 sqft,Apartment,1,2,"Montrose B, Al Barsha South, Al Barsha, Dubai"
"1,000,000 AED",857 sqft,Apartment,1,2,"Hartland Garden Apartments, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
"340,000 AED",570 sqft,Apartment,1,2,"Summer, Seasons Community, Jumeirah Village Circle, Dubai"
"1,050,000 AED","1,163 sqft",Apartment,2,2,"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi"
"3,200,000 AED","4,892 sqft",Villa,4,5,"Legacy Nova Villas, Jumeirah Park, Dubai"
"700,000 AED",543 sqft,Apartment,Studio,1,"Mayan 1, Mayan, Yas Island, Abu Dhabi"
"1,330,000 AED","2,227 sqft",Townhouse,3,4,"Noor Townhouses, Town Square, Dubai"
"1,300,000 AED","1,856 sqft",Townhouse,2,3,"Springs 3, The Springs, Dubai"
"1,000,000 AED",851 sqft,Apartment,1,2,"Ansam, Yas Island, Abu Dhabi"
"3,400,000 AED","2,050 sqft",Apartment,3,3,"Marina Quay East, Marina Quays, Dubai Marina, Dubai"
"1,000,000 AED","1,766 sqft",Townhouse,2,3,"Amaranta, Villanova, Dubai Land, Dubai"
"2,824,000 AED","2,036 sqft",Apartment,3,4,"Damac Residenze, Dubai Marina, Dubai"
"13,000,000 AED","5,000 sqft",Duplex,4,4,"The 8, The Crescent, Palm Jumeirah, Dubai"
"443,850 AED",422 sqft,Apartment,Studio,1,"Aria, Jumeirah Village Circle, Dubai"
"1,500,000 AED",850 sqft,Apartment,1,2,"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai"
"850,000 AED",900 sqft,Apartment,1,2,"Oxford Residence, Jumeirah Village Circle, Dubai"
"5,500,000 AED","6,197 sqft",Villa,4,5,"Building C, Al Zeina, Al Raha Beach, Abu Dhabi"
"1,420,888 AED","1,438 sqft",Apartment,3,3,"Zahra Apartments 1A, Zahra Apartments, Town Square, Dubai"
"2,425,000 AED","1,795 sqft",Apartment,3,5,"Noora, Al Habtoor City, Business Bay, Dubai"
"975,000 AED",730 sqft,Apartment,1,1,"Downtown Views II, Downtown Dubai, Dubai"
"560,000 AED",796 sqft,Apartment,1,2,"Tower 1, Al Reef Downtown, Al Reef, Abu Dhabi"
"2,990,000 AED","3,800 sqft",Villa,5,5,"District 2C, Jumeirah Village Triangle, Dubai"
"15,880,000 AED","8,120 sqft",Duplex,3,5,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"11,400,000 AED","3,357 sqft",Penthouse,3,4,"1 JBR, Jumeirah Beach Residence, Dubai"
"2,800,000 AED","1,894 sqft",Apartment,3,3,"Rimal 2, Rimal, Jumeirah Beach Residence, Dubai"
"575,000 AED",480 sqft,Apartment,Studio,,"Elite Business Bay Residence, Business Bay, Dubai"
"6,100,000 AED","10,140 sqft",Villa,6,7+,"Sanctuary Falls, Earth, Jumeirah Golf Estates, Dubai"
"800,000 AED",882 sqft,Apartment,1,2,"The Gate Tower 3, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"7,257,120 AED","5,240 sqft",Apartment,4,5,"Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi"
"1,400,000 AED","1,184 sqft",Apartment,1,2,"Al Haseer, Shoreline Apartments, Palm Jumeirah, Dubai"
"3,300,000 AED","5,600 sqft",Villa,4,5,"Legacy Nova Villas, Jumeirah Park, Dubai"
"33,160,600 AED","30,146 sqft",Whole Building,,,"Al Andalus, Jumeirah Golf Estates, Dubai"
"1,199,999 AED","1,335 sqft",Apartment,2,3,"Marina Heights, Marina Square, Al Reem Island, Abu Dhabi"
"2,000,000 AED","1,076 sqft",Apartment,2,2,"29 Burj Boulevard Tower 1, 29 Burj Boulevard, Downtown Dubai, Dubai"
"26,000,000 AED","10,954 sqft",Villa,6,7+,"Jawaher Saadiyat, Saadiyat Island, Abu Dhabi"
"3,000,000 AED","1,485 sqft",Apartment,2,3,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"2,650,000 AED","3,400 sqft",Townhouse,5,6,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,300,000 AED","2,180 sqft",Townhouse,3,3,"Mira 2, Mira, Reem, Dubai"
"13,000,000 AED","6,704 sqft",Villa,4,5,"Balqis Residences, Kingdom of Sheba, Palm Jumeirah, Dubai"
"975,000 AED","1,407 sqft",Apartment,3,3,"Safi I, Safi, Town Square, Dubai"
"3,100,000 AED","3,514 sqft",Apartment,3,4,"Al Badia Hillside Village, Dubai Festival City, Dubai"
"1,170,000 AED","1,090 sqft",Apartment,2,3,"Meera 2, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,100,000 AED",850 sqft,Apartment,1,2,"Ansam, Yas Island, Abu Dhabi"
"1,399,000 AED",966 sqft,Apartment,1,2,"Ocean Heights, Dubai Marina, Dubai"
"800,000 AED",674 sqft,Apartment,1,1,"Waters Edge, Yas Island, Abu Dhabi"
"5,200,000 AED","5,220 sqft",Villa,5,5,"The Park Villas, DAMAC Hills (Akoya by DAMAC), Dubai"
"2,600,000 AED","2,300 sqft",Apartment,3,4,"Al Naseem Residences A, Al Bandar, Al Raha Beach, Abu Dhabi"
"1,113,661 AED","1,194 sqft",Apartment,2,3,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"1,040,000 AED",788 sqft,Apartment,1,2,"West Avenue Tower, Dubai Marina, Dubai"
"2,300,000 AED","4,538 sqft",Apartment,3,4,"Trident Waterfront, Dubai Marina, Dubai"
"700,000 AED",975 sqft,Apartment,1,2,"Sulafa Tower, Dubai Marina, Dubai"
"998,000 AED","1,346 sqft",Apartment,2,3,"Oia Residence, Motor City, Dubai"
"1,642,000 AED",949 sqft,Apartment,1,2,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"1,600,000 AED","1,559 sqft",Apartment,2,3,"Al Rahba, Al Muneera, Al Raha Beach, Abu Dhabi"
"3,750,000 AED","3,857 sqft",Villa,5,7,"Picadilly Green, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,500,000 AED","1,144 sqft",Apartment,1,2,"Al Haseer, Shoreline Apartments, Palm Jumeirah, Dubai"
"920,000 AED",778 sqft,Apartment,1,2,"Clayton Residency, Business Bay, Dubai"
"49,000,000 AED","14,100 sqft",Villa,7,7+,"Signature Villas Frond G, Signature Villas, Palm Jumeirah, Dubai"
"2,700,000 AED","1,703 sqft",Apartment,2,4,"Al Bateen Residence, The Walk, Jumeirah Beach Residence, Dubai"
"750,000 AED",814 sqft,Apartment,1,2,"The Wave, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi"
"600,000 AED",538 sqft,Apartment,Studio,1,"Al Maha Tower, Marina Square, Al Reem Island, Abu Dhabi"
"1,100,000 AED","1,482 sqft",Apartment,2,3,"Oceanscape, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"2,398,000 AED","3,815 sqft",Villa,4,4,"Nad Al Sheba 3, Nadd Al Sheba, Dubai"
"3,300,000 AED","2,100 sqft",Apartment,3,3,"B2, The Hills B, The Hills, Dubai"
"2,450,000 AED","3,225 sqft",Villa,3,4,"Samara, Arabian Ranches 2, Dubai"
"1,600,000 AED","2,213 sqft",Townhouse,4,4,"Amaranta, Villanova, Dubai Land, Dubai"
"900,000 AED","1,415 sqft",Apartment,2,3,"Yasamine, Phase 1, Al Furjan, Dubai"
"2,900,000 AED","2,346 sqft",Townhouse,4,5,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"1,800,000 AED","1,991 sqft",Apartment,2,2,"Al Shahla, Shoreline Apartments, Palm Jumeirah, Dubai"
"4,300,000 AED","3,578 sqft",Villa,4,3,"Meadows 5, Meadows, Dubai"
"28,000,000 AED","6,272 sqft",Villa,4,5,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"570,000 AED",560 sqft,Apartment,Studio,1,"Indigo Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"
"5,200,000 AED","5,634 sqft",Villa,5,6,"Mirdif Villas, Mirdif, Dubai"
"1,000,000 AED",463 sqft,Apartment,Studio,1,"Upper Crest, Downtown Dubai, Dubai"
"28,000,000 AED","11,190 sqft",Villa,4,7+,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"2,635,000 AED","1,807 sqft",Apartment,1,2,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"18,950,000 AED","19,041 sqft",Villa,5,7,"Sector E, Emirates Hills, Dubai"
"4,799,999 AED","7,320 sqft",Villa,6,6,"Hacienda, The Villa, Dubai"
"3,150,000 AED","3,102 sqft",Villa,3,3,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"1,300,000 AED","1,440 sqft",Apartment,2,3,"Ocean Heights, Dubai Marina, Dubai"
"1,950,000 AED","2,228 sqft",Townhouse,3,3,"Maple 3, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"2,850,000 AED","1,978 sqft",Duplex,2,2,"Bahar 5, Bahar, Jumeirah Beach Residence, Dubai"
"12,000,000 AED","4,154 sqft",Penthouse,3,4,"The 8, The Crescent, Palm Jumeirah, Dubai"
"1,850,000 AED","7,000 sqft",Villa,2,3,"District 16, Jumeirah Village Circle, Dubai"
"760,000 AED",820 sqft,Apartment,1,2,"C2 Tower, City Of Lights, Al Reem Island, Abu Dhabi"
"560,000 AED","1,071 sqft",Apartment,1,2,"Cappadocia, Jumeirah Village Circle, Dubai"
"3,400,000 AED","4,865 sqft",Villa,5,6,"Cedre Villas, Dubai Silicon Oasis, Dubai"
"5,600,000 AED","6,044 sqft",Villa,6,6,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"4,600,000 AED","5,177 sqft",Villa,4,5,"Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai"
"700,000 AED",975 sqft,Apartment,1,2,"Sulafa Tower, Dubai Marina, Dubai"
"500,000 AED",580 sqft,Apartment,1,1,"Hayat Boulevard, Town Square, Dubai"
"28,000,000 AED","6,272 sqft",Villa,4,5,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"1,500,000 AED","1,356 sqft",Apartment,2,2,"The Lofts East, The Lofts, Downtown Dubai, Dubai"
"1,420,888 AED","1,438 sqft",Apartment,3,3,"Zahra Apartments 1A, Zahra Apartments, Town Square, Dubai"
"2,450,000 AED","3,225 sqft",Villa,3,4,"Samara, Arabian Ranches 2, Dubai"
"975,000 AED",730 sqft,Apartment,1,1,"Downtown Views II, Downtown Dubai, Dubai"
"560,000 AED",796 sqft,Apartment,1,2,"Tower 1, Al Reef Downtown, Al Reef, Abu Dhabi"
"2,990,000 AED","3,800 sqft",Villa,5,5,"District 2C, Jumeirah Village Triangle, Dubai"
"15,880,000 AED","8,120 sqft",Duplex,3,5,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"11,400,000 AED","3,357 sqft",Penthouse,3,4,"1 JBR, Jumeirah Beach Residence, Dubai"
"2,800,000 AED","1,894 sqft",Apartment,3,3,"Rimal 2, Rimal, Jumeirah Beach Residence, Dubai"
"575,000 AED",480 sqft,Apartment,Studio,,"Elite Business Bay Residence, Business Bay, Dubai"
"1,113,661 AED","1,194 sqft",Apartment,2,3,"Chaimaa Avenue Residences, Jumeirah Village Circle, Dubai"
"1,040,000 AED",788 sqft,Apartment,1,2,"West Avenue Tower, Dubai Marina, Dubai"
"2,300,000 AED","4,538 sqft",Apartment,3,4,"Trident Waterfront, Dubai Marina, Dubai"
"1,199,999 AED","1,335 sqft",Apartment,2,3,"Marina Heights, Marina Square, Al Reem Island, Abu Dhabi"
"1,600,000 AED","2,213 sqft",Townhouse,4,4,"Amaranta, Villanova, Dubai Land, Dubai"
"900,000 AED","1,415 sqft",Apartment,2,3,"Yasamine, Phase 1, Al Furjan, Dubai"
"2,900,000 AED","2,346 sqft",Townhouse,4,5,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"3,000,000 AED","1,485 sqft",Apartment,2,3,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"2,650,000 AED","3,400 sqft",Townhouse,5,6,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,000,000 AED",700 sqft,Apartment,1,2,"West Avenue Tower, Dubai Marina, Dubai"
"2,000,000 AED","1,679 sqft",Apartment,2,3,"South Ridge 2, South Ridge, Downtown Dubai, Dubai"
"3,400,000 AED","4,865 sqft",Villa,5,6,"Cedre Villas, Dubai Silicon Oasis, Dubai"
"5,600,000 AED","6,044 sqft",Villa,6,6,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"4,600,000 AED","5,177 sqft",Villa,4,5,"Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai"
"1,400,000 AED","1,894 sqft",Villa,3,4,"Amaranta, Villanova, Dubai Land, Dubai"
"1,575,000 AED",775 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"26,000,000 AED","7,000 sqft",Villa,6,5,"Signature Villas Frond C, Signature Villas, Palm Jumeirah, Dubai"
"1,299,999 AED","2,110 sqft",Townhouse,3,3,"Noor Townhouses, Town Square, Dubai"
"1,749,999 AED","1,800 sqft",Apartment,3,3,"Al Nada 1, Al Muneera, Al Raha Beach, Abu Dhabi"
"1,100,000 AED","1,643 sqft",Townhouse,1,1,"District 4H, Jumeirah Village Triangle, Dubai"
"1,122,000 AED",645 sqft,Apartment,1,,"Merano Tower, Business Bay, Dubai"
"4,550,000 AED","7,434 sqft",Villa,4,6,"Orange Lake, Fire, Jumeirah Golf Estates, Dubai"
"3,499,999 AED","4,200 sqft",Villa,4,,"The Aldea, The Villa, Dubai"
"1,150,000 AED",880 sqft,Apartment,1,2,"Ansam, Yas Island, Abu Dhabi"
"1,600,000 AED","1,300 sqft",Apartment,2,2,"Ansam, Yas Island, Abu Dhabi"
"380,000 AED",796 sqft,Apartment,1,2,"Autumn, Seasons Community, Jumeirah Village Circle, Dubai"
"4,175,000 AED","1,754 sqft",Apartment,2,3,"The 8, The Crescent, Palm Jumeirah, Dubai"
"1,600,000 AED","1,298 sqft",Apartment,2,3,"Ansam, Yas Island, Abu Dhabi"
"1,380,000 AED","1,362 sqft",Apartment,2,3,"Mulberry, Park Heights, Dubai Hills Estate, Dubai"
"2,399,900 AED","3,063 sqft",Villa,3,4,"Regional, Jumeirah Park, Dubai"
"8,500,000 AED","7,725 sqft",Villa,4,7,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"5,500,000 AED","6,044 sqft",Villa,6,6,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"3,350,000 AED","3,320 sqft",Townhouse,4,5,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"1,000,000 AED","1,002 sqft",Apartment,1,2,"Dubai Wharf, Culture Village, Dubai"
"1,170,000 AED","1,090 sqft",Apartment,2,3,"Meera 2, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,800,000 AED","1,991 sqft",Apartment,2,2,"Al Shahla, Shoreline Apartments, Palm Jumeirah, Dubai"
"4,300,000 AED","3,578 sqft",Villa,4,3,"Meadows 5, Meadows, Dubai"
"1,399,000 AED",966 sqft,Apartment,1,2,"Ocean Heights, Dubai Marina, Dubai"
"1,100,000 AED",850 sqft,Apartment,1,2,"Ansam, Yas Island, Abu Dhabi"
"1,150,000 AED",880 sqft,Apartment,1,2,"Ansam, Yas Island, Abu Dhabi"
